ID,Name,Damage,Healing,Duration,Cooldown,Accuracy,Type,Popularity,Description
826,Weakening Blow,20,,,,100%,Humanoid,8,"100% Hit Chance  Unleashes a restrained attack, dealing 20 Humanoid damage.  This attack cannot reduce the opponent's health below 1. Used by 7 battle pets."
919,Black Claw,,,3 turns,,100%,Beast,5,100% Hit Chance  Adds 8 damage to every attack against the target.   Lasts 3 rounds. Used by 26 battle pets. In the Beast Battle Pet Abilities category.
256,Call Darkness,45,,5 turns,5 turns,100%,Humanoid,4,"100% Hit Chance  A shadow falls across the battlefield, dealing 45 Humanoid damage and turning the weather to Darkness for 5 rounds.  During Darkness, all pets are considered Blinded and all healing received is reduced by 50%."
204,Call Lightning,45,,5 turns,5 turns,100%,Mechanical,4,"100% Hit Chance  Deals 45 Mechanical damage and causes a Lightning Storm for 5 rounds.  During a Lightning Storm, all pets deal 2 bonus Mechanical damage on each attack and Mechanical abilities deal 25% additional damage."
581,Flock,45,,2 turns,,100%,Flying,3,"100% Hit Chance  Flocks the target, causing 9 Flying damage on the first round, 15 Flying on the second round, and 21 Flying on the third round. Lasts 3 rounds.  Opponents struck by the flock take 50% increased damage for 2 rounds."
489,Mana Surge,105,,,3 turns,100%,Magic,3,100% Hit Chance  Deals 25 Magic damage. Deals 10 additional damage when the weather is Arcane Winds.  Mana Surge continues for 3 rounds. Used by 21 battle pets.
273,Wish,,,1 turns,5 turns,100%,Magic,3,"Next round, your active pet will be healed for 50% of its maximum health. Used by 20 battle pets. In the Magic Battle Pet Abilities category."
362,Howl,,,2 turns,3 turns,100%,Beast,3,"100% Hit Chance  A distant howl frightens the target, increasing the damage they take on the next attack by 100%, lasts 2 rounds. Used by 37 battle pets."
1357,Superbark,35,,,4 turns,100%,Beast,3,"100% Hit Chance  Barks with incredible power, dealing 35 Beast damage.  This attack cannot reduce the opponent's health below 1. Used by 24 battle pets."
404,Sunlight,45,,9 turns,5 turns,100%,Elemental,3,"100% Hit Chance  A Solar Beam strikes all enemies, dealing 15 Elemental damage and transforms the weather into a sunny day for 9 rounds.  During a sunny day, the maximum health of all pets is increased by 50%. and healing done is increased by 25%."
589,Arcane Storm,24,,9 turns,3 turns,100%,Magic,3,"100% Hit Chance  Deals 24 Magic damage split between all enemies and warps the weather into Arcane Winds for 9 rounds. Does additional damage if Arcane Winds is already active.  During Arcane Winds, pets cannot be stunned or rooted."
445,Ooze Touch,20,,,,100%,Magic,3,"100% Hit Chance  Oozes onto the enemy, dealing 20 Magic damage. Used by 80 battle pets. In the Magic Battle Pet Abilities category. Always up to date."
312,Dodge,,,1 turns,4 turns,100%,Humanoid,3,Increases your chance to dodge an attack by 100%.  Lasts 1 rounds. Used by 49 battle pets. A battle pet ability from World of Warcraft. Always up to date.
